Salary,Assists,AtBat,CAtBat,CHits,CHmRun,CRBI,CRuns,CWalks,Errors,Hits,HmRun,PutOuts,RBI,Runs,Walks,Years,Division.E,Division.W,League.A,League.N,NewLeague.A,NewLeague.N
90,59,268,350,78,5,29,34,18,6,60,5,442,25,24,15,2,0,1,0,1,0,1
325,0,278,7186,2081,190,1088,935,643,0,70,7,0,37,22,18,18,0,1,1,0,1,0
1043.333,13,586,3082,880,83,477,363,295,4,159,12,181,79,72,53,9,1,0,0,1,0,1
595,156,382,2133,594,41,294,287,227,9,119,13,59,58,54,36,12,0,1,0,1,0,1
341.667,144,281,2658,657,48,300,324,179,7,76,3,106,25,42,20,8,1,0,1,0,1,0
385,87,325,1506,351,71,219,195,214,3,76,16,726,52,33,37,5,0,1,0,1,1,0
95,56,151,288,68,9,39,45,35,2,41,4,28,21,26,19,2,0,1,1,0,1,0
362.5,185,327,2140,568,16,208,216,93,12,85,3,91,44,30,20,8,1,0,1,0,1,0
190,1,236,1257,329,24,125,166,105,4,56,6,172,19,41,21,5,1,0,1,0,1,0
430,56,343,4338,1193,70,421,581,325,13,103,6,211,36,48,40,15,1,0,1,0,1,0
600,6,329,3828,948,145,528,575,635,2,83,9,276,39,50,56,9,0,1,1,0,1,0
1050,118,256,7058,1845,312,1128,965,990,8,70,13,41,36,42,44,16,1,0,0,1,1,0
275,213,339,1064,290,11,108,123,55,9,96,4,104,29,37,23,4,0,1,1,0,1,0
75,3,199,514,120,8,40,57,39,5,53,5,152,22,29,21,3,0,1,1,0,1,0
750,270,480,3031,771,110,406,338,239,16,112,18,94,71,50,44,7,1,0,0,1,0,1
1300,2,441,2723,750,126,420,433,309,2,118,28,190,86,84,68,8,1,0,1,0,1,0
960,131,573,3198,857,97,420,470,332,12,144,9,1314,60,85,78,8,1,0,1,0,1,0
340,14,244,1335,333,49,179,164,194,2,58,9,142,25,28,35,4,0,1,0,1,0,1
900,5,513,5201,1382,166,734,763,784,3,137,20,267,95,90,90,14,0,1,1,0,1,0
625,9,560,1789,470,65,260,233,155,8,161,26,332,96,89,66,4,0,1,0,1,0,1
250,44,216,2796,665,43,304,266,198,4,56,4,391,18,22,15,12,1,0,1,0,1,0
225,2,283,4479,1222,94,483,557,307,2,70,8,156,37,33,27,12,1,0,1,0,1,0
800,7,381,3015,834,40,249,451,168,5,110,9,228,45,61,32,7,1,0,0,1,0,1
135,226,461,680,160,24,75,76,49,11,112,18,111,54,54,35,2,0,1,1,0,1,0
1000,9,522,7037,2019,153,827,1043,535,1,163,9,352,46,82,62,13,1,0,1,0,1,0
425,0,376,1770,408,115,299,238,157,0,82,21,0,60,42,35,5,0,1,1,0,1,0
175,459,547,1038,271,3,80,129,24,22,137,2,261,47,58,12,2,0,1,1,0,1,0
200,166,522,730,185,22,106,93,86,17,140,16,1320,77,73,60,4,1,0,0,1,0,1
100,47,303,344,76,3,36,20,45,6,71,3,468,30,18,36,3,1,0,0,1,0,1
475,43,315,3449,835,69,414,321,375,10,81,7,632,38,24,39,14,0,1,0,1,0,1
925,414,559,3162,874,16,349,421,359,9,141,2,352,61,48,73,8,1,0,0,1,0,1
375,132,233,1350,336,7,122,166,106,10,49,2,102,23,41,18,8,1,0,1,0,1,0
191,3,275,961,238,16,104,128,172,2,68,5,181,42,42,61,6,1,0,0,1,0,1
160,371,578,1399,357,7,161,149,87,20,138,1,133,59,56,34,3,1,0,0,1,0,1
612.5,292,583,1646,452,44,208,219,136,25,168,17,109,80,83,56,5,1,0,1,0,1,0
850,347,497,3871,1066,40,367,450,241,10,136,7,304,38,58,26,11,1,0,1,0,1,0
120,72,408,408,117,11,41,66,34,11,117,11,942,41,66,34,1,0,1,0,1,0,1
450,54,255,6311,1661,154,608,1019,820,8,70,7,51,35,49,43,15,1,0,0,1,0,1
1008.333,105,528,2641,671,97,383,273,226,8,132,21,885,74,61,41,6,1,0,0,1,0,1
900,334,596,2862,728,107,401,361,224,21,171,34,118,108,91,52,6,0,1,1,0,1,0
70,122,317,317,78,7,35,35,32,26,78,7,45,35,35,32,1,1,0,1,0,1,0
475,354,530,1619,426,11,149,218,163,15,159,3,196,50,82,47,6,0,1,1,0,1,0
950,15,570,3754,1077,140,589,492,263,5,169,21,295,88,72,38,7,0,1,1,0,1,0
2127.333,220,20,41,9,2,7,6,4,6,1,0,78,0,0,0,2,1,0,0,1,0,1
350,445,687,1518,448,15,137,196,89,13,213,10,294,65,91,27,4,1,0,1,0,1,0
225,152,216,926,210,9,69,118,114,11,53,1,73,15,31,22,4,0,1,0,1,0,1
1600,267,580,2778,978,32,322,474,417,19,207,8,121,71,107,105,5,1,0,1,0,1,0
875,64,374,1968,519,26,199,181,288,15,94,5,756,26,36,62,7,0,1,0,1,0,1
300,2,357,1394,344,43,192,178,136,4,96,7,167,45,50,39,5,0,1,1,0,1,0
950,0,585,7546,1982,315,1179,1141,727,0,139,31,0,94,93,62,17,1,0,1,0,1,0
450,2,184,3327,890,74,382,419,304,0,47,5,49,28,20,18,11,0,1,0,1,0,1
425,5,265,1337,339,32,163,135,128,3,68,8,92,30,26,29,7,0,1,0,1,1,0
326.667,246,368,1897,493,9,162,207,198,3,103,3,209,28,48,54,8,0,1,0,1,0,1
90,432,633,3070,872,19,230,420,274,16,210,6,367,56,91,59,6,0,1,0,1,0,1
1000,4,631,4908,1457,30,357,775,249,3,170,9,408,44,77,31,11,0,1,1,0,1,0
320,223,311,8247,2198,100,909,950,690,10,81,3,153,30,42,26,17,0,1,0,1,0,1
750,222,306,2954,822,55,377,313,187,15,104,14,116,58,50,25,7,1,0,0,1,0,1
150,317,407,969,230,14,69,121,68,25,93,8,172,30,47,30,2,0,1,0,1,0,1
1041.667,9,637,6727,2024,247,1093,978,495,9,174,31,278,116,89,56,14,0,1,0,1,0,1
737.5,5,283,3919,1062,85,456,505,283,7,74,4,145,29,34,22,10,0,1,0,1,0,1
120,32,211,498,116,14,55,59,78,8,43,10,463,35,26,39,3,0,1,1,0,1,0
1800,149,551,6090,1840,128,900,969,917,5,171,13,1199,83,94,94,13,1,0,0,1,0,1
200,308,616,1437,377,65,227,181,82,15,163,27,110,107,83,32,3,0,1,1,0,1,0
155,465,581,831,210,21,86,106,40,32,145,17,320,68,66,21,2,1,0,0,1,0,1
2460,88,495,5624,1679,275,1015,884,709,13,151,17,1045,84,61,78,10,1,0,1,0,1,0
420,421,584,4704,1320,93,522,724,576,11,157,20,276,73,95,63,10,1,0,1,0,1,0
662.5,20,584,2358,636,58,316,265,134,4,158,15,331,84,70,42,5,1,0,0,1,0,1
110,4,280,428,113,25,70,61,63,2,82,16,148,45,44,47,2,1,0,1,0,1,0
115,22,426,426,109,3,43,55,62,2,109,3,361,43,55,62,1,0,1,1,0,0,1
135,22,127,727,180,24,82,67,56,2,32,8,202,22,16,14,8,0,1,0,1,0,1
105,407,453,507,123,8,39,63,58,6,103,8,289,33,53,52,2,0,1,1,0,1,0
250,0,246,912,234,12,96,102,80,1,76,5,44,39,35,13,6,1,0,1,0,1,0
450,141,313,5885,1543,104,714,751,535,23,83,9,58,41,43,30,14,0,1,0,1,0,1
215,177,416,932,273,24,121,113,80,18,132,7,73,49,57,33,3,0,1,0,1,0,1
125,59,328,342,94,12,44,51,33,8,91,12,145,43,51,33,2,1,0,0,1,0,1
90,70,416,416,113,24,69,58,16,10,113,24,203,69,58,16,1,1,0,1,0,1,0
350,1,369,1258,323,54,177,181,157,6,93,9,149,42,43,49,5,1,0,1,0,1,0
165,4,600,696,173,38,130,101,69,14,144,33,319,117,85,65,2,0,1,1,0,1,0
190,2,126,239,49,3,13,16,14,9,27,3,190,10,8,5,4,1,0,0,1,0,1
175,177,190,479,102,5,23,65,39,16,46,2,102,8,24,15,5,0,1,1,0,1,0
575,450,625,1696,476,12,163,216,166,14,179,4,303,60,94,65,5,1,0,1,0,1,0
1100,0,401,5206,1332,253,890,784,866,0,92,17,0,66,49,65,13,1,0,1,0,1,0
86.5,0,181,181,58,6,23,34,22,3,58,6,88,23,34,22,1,0,1,0,1,0,1
200,174,354,8716,2172,384,1267,1172,1057,16,77,16,83,55,36,41,20,0,1,0,1,0,1
780,9,489,2051,549,62,263,300,153,9,131,19,310,55,77,34,7,0,1,1,0,1,0
517.143,445,574,4631,1300,90,504,702,488,22,159,21,238,75,107,59,10,1,0,1,0,1,0
